Survey_ID,Survey_Date,Age,Gender,Region,Job_Role,Work_Arrangement,Salary_Range
SURV009,2025-06-01,30,Female,South America,Software Engineer,Remote,$60K-80K
SURV012,2025-06-01,64,Male,North America,Business Analyst,Remote,$40K-60K
SURV013,2025-06-01,25,Female,Oceania,Data Scientist,Hybrid,$80K-100K
SURV038,2025-06-01,42,Male,Europe,Customer Service Manager,Remote,$60K-80K
SURV040,2025-06-01,29,Female,Africa,Sales Representative,Hybrid,$80K-100K
SURV041,2025-06-01,31,Female,Africa,Product Manager,Hybrid,$100K-120K
SURV048,2025-06-01,58,Male,Oceania,Project Manager,Hybrid,$80K-100K
SURV051,2025-06-01,62,Female,Africa,DevOps Engineer,Remote,$100K-120K
SURV052,2025-06-01,50,Male,South America,UX Designer,Onsite,$40K-60K
SURV062,2025-06-01,31,Female,North America,Data Analyst,Remote,$80K-100K
SURV064,2025-06-01,40,Male,North America,Business Analyst,Remote,$60K-80K
SURV065,2025-06-01,39,Female,North America,Customer Service Manager,Hybrid,$60K-80K
SURV068,2025-06-01,39,Male,Europe,Marketing Specialist,Hybrid,$60K-80K
SURV069,2025-06-01,22,Male,Oceania,Sales Representative,Onsite,$60K-80K
SURV074,2025-06-01,64,Female,Asia,Technical Writer,Remote,$60K-80K
SURV078,2025-06-01,41,Female,Europe,Sales Representative,Hybrid,$120K+
SURV079,2025-06-01,25,Female,South America,Customer Service Manager,Remote,$60K-80K
SURV081,2025-06-01,58,Male,Oceania,Product Manager,Remote,$120K+
SURV092,2025-06-01,59,Male,Africa,HR Manager,Remote,$80K-100K
SURV097,2025-06-01,53,Female,Asia,DevOps Engineer,Remote,$100K-120K
SURV100,2025-06-02,23,Male,Asia,Sales Representative,Remote,$40K-60K
SURV104,2025-06-02,45,Male,Asia,Quality Assurance,Remote,$60K-80K
SURV107,2025-06-02,63,Male,Europe,Account Manager,Remote,$60K-80K
SURV113,2025-06-02,43,Male,Oceania,Product Manager,Onsite,$80K-100K
SURV114,2025-06-02,45,Female,South America,Business Analyst,Onsite,$80K-100K
SURV115,2025-06-02,47,Male,North America,Sales Representative,Remote,$40K-60K
SURV118,2025-06-02,51,Female,North America,Business Analyst,Hybrid,$40K-60K
SURV120,2025-06-02,62,Male,Europe,UX Designer,Hybrid,$60K-80K
SURV124,2025-06-02,52,Male,Asia,Quality Assurance,Remote,$40K-60K
SURV130,2025-06-02,23,Male,North America,Product Manager,Remote,$60K-80K
SURV132,2025-06-02,25,Female,,Operations Manager,Remote,$40K-60K
SURV133,2025-06-02,42,Female,Oceania,Business Analyst,Remote,$100K-120K
SURV135,2025-06-02,26,Female,Asia,Project Manager,Hybrid,$80K-100K
SURV138,2025-06-02,53,Female,South America,Executive Assistant,Hybrid,$120K+
SURV139,2025-06-02,37,Non-binary,South America,Quality Assurance,Onsite,$80K-100K
SURV142,2025-06-02,46,Male,Africa,Quality Assurance,Remote,$80K-100K
SURV145,2025-06-02,49,Female,South America,Data Analyst,Hybrid,$60K-80K
SURV148,2025-06-02,44,Female,Oceania,Operations Manager,Remote,$60K-80K
SURV152,2025-06-02,47,Female,Europe,Social Media Manager,Hybrid,$80K-100K
SURV158,2025-06-02,61,Female,Oceania,Financial Analyst,Remote,$80K-100K
